season,game_date,matchup,fgm
2005-06,2005-11-02,CLE vs. NOK,9
2006-07,2006-11-01,CLE vs. WAS,11
2007-08,2007-10-31,CLE vs. DAL,2
2008-09,2008-10-28,CLE @ BOS,9
2009-10,2009-10-27,CLE vs. BOS,12
2010-11,2010-10-26,MIA @ BOS,10
2011-12,2011-12-25,MIA @ DAL,11
2012-13,2012-10-30,MIA vs. BOS,10
2013-14,2013-10-29,MIA vs. CHI,5
2014-15,2014-10-30,CLE vs. NYK,5
2015-16,2015-10-27,CLE @ CHI,12
2016-17,2016-10-25,CLE vs. NYK,9
2017-18,2017-10-17,CLE vs. BOS,12
2018-19,2018-10-18,LAL @ POR,9
2019-20,2019-10-22,LAL @ LAC,7
2020-21,2020-12-22,LAL vs. LAC,7
2021-22,2021-10-19,LAL vs. GSW,13
2022-23,2022-10-18,LAL @ GSW,12
2023-24,2023-10-24,LAL @ DEN,10
2024-25,2024-10-22,LAL vs. MIN,7
2025-26,2025-11-18,LAL vs. UTA,4
